"id","wave","exp_self","exp_household","exp_family","exp_relations","y"
1851041574,1,1,2,2,2,2
1851050342,1,1,1,2,2,2
1851081034,1,1,2,2,NA,3
1851041118,1,1,1,1,1,1
1851123472,1,1,2,2,1,3
1851085236,1,1,1,1,1,3
1850908484,1,1,1,1,1,1
1851238156,1,1,1,1,1,2
1843278044,1,1,1,1,2,1
1851287168,1,1,1,1,1,3
1851301064,1,1,1,1,1,3
1850998038,1,1,1,1,1,NA
1851449554,1,1,1,1,1,1
1851845952,1,1,1,1,1,1
1851921014,1,1,1,1,1,3
1851287166,1,1,1,3,1,1
1852053882,1,1,NA,NA,NA,1
1849096156,1,NA,NA,NA,NA,NA
1853024534,1,1,1,1,1,1
1851449558,1,2,1,1,1,3
1853170404,1,1,1,1,1,1
1851921032,1,1,1,1,1,1
1851194732,1,1,1,1,1,3
1851287170,1,1,1,1,1,NA
1853086912,1,1,1,1,1,3
1851830376,1,1,1,1,1,2
1853441898,1,1,1,1,NA,1
1853488866,1,1,1,1,3,4
1853402362,1,1,1,1,1,2
1853518934,1,1,1,1,1,2
1851947700,1,1,1,1,1,3
1853602882,1,1,1,1,1,1
1853602892,1,1,1,2,1,1
1853402382,1,1,1,1,1,1
1853327796,1,1,1,1,1,NA
1853425164,1,1,1,1,1,5
1853711486,1,1,1,2,1,3
1851194722,1,2,2,3,NA,5
1853512666,1,1,1,1,1,2
1853711462,1,1,1,1,1,2
1853677184,1,2,2,2,2,1
1853733048,1,1,1,1,1,1
1853840600,1,1,1,1,1,5
1853627788,1,NA,NA,NA,NA,NA
1853991356,1,1,1,1,1,1
1853991336,1,NA,NA,NA,NA,3
1851733158,1,1,2,2,2,2
1852017326,1,NA,NA,NA,NA,NA
1853436338,1,1,1,1,1,3
1854031466,1,1,1,1,1,1
1854095874,1,1,1,1,1,1
1852017392,1,1,1,1,1,3
1854160152,1,1,1,1,1,1
1854211808,1,1,1,1,1,2
1853304564,1,1,1,4,2,2
1854135424,1,1,1,1,NA,1
1854426344,1,1,1,1,1,1
1854382758,1,2,2,4,1,1
1854537892,1,1,1,3,NA,2
1854077020,1,1,1,1,1,3
1854501422,1,1,1,1,1,5
1854382784,1,1,1,1,1,3
1853425100,1,1,1,1,1,2
1855613422,1,1,NA,5,1,3
1855755346,1,1,1,1,1,1
1855724880,1,1,1,2,1,1
1856150818,1,1,3,3,3,NA
1856149234,1,2,1,2,1,1
1854616180,1,1,1,1,1,1
1853677020,1,NA,NA,NA,NA,1
1855871070,1,1,1,1,1,1
1855894880,1,1,1,1,1,4
1856450734,1,1,1,1,1,NA
1854077032,1,1,1,1,1,2
1855928280,1,1,1,1,1,1
1856721798,1,1,1,1,1,5
1855724928,1,1,1,1,1,1
1854574980,1,2,1,1,NA,NA
1856450736,1,1,1,1,1,2
1856793142,1,1,2,2,1,3
1856957516,1,NA,NA,NA,NA,3
1856906560,1,1,1,1,1,1
1856450726,1,1,1,1,1,NA
1858311514,1,1,2,1,1,1
1858243016,1,NA,NA,NA,NA,3
1856936344,1,1,1,1,1,1
1858215306,1,1,1,1,1,3
1858641916,1,NA,NA,NA,NA,NA
1858877126,1,1,1,1,1,4
1858850260,1,1,1,2,4,1
1860323074,1,1,2,NA,NA,1
1860555816,1,1,1,1,1,1
1860695050,1,1,1,1,1,3
1858704790,1,2,2,2,2,2
1860425080,1,1,1,1,1,1
1860795932,1,1,1,1,1,5
1860537430,1,1,1,1,1,1
1860889758,1,1,NA,NA,NA,1
1861062646,1,1,1,1,1,3
1860889756,1,NA,NA,1,1,5
1861265712,1,1,1,1,1,2
1861568708,1,1,1,1,1,1
1862778816,1,1,1,1,1,4
1861196744,1,1,1,1,1,2
1862815402,1,1,1,1,1,1
1863069916,1,1,1,1,3,NA
1862840276,1,NA,NA,NA,NA,4
1862884586,1,1,1,1,1,5
1865201088,1,1,1,1,1,3
1866623832,1,NA,NA,NA,NA,NA
1851301010,1,1,1,1,4,1
1867391642,1,1,1,1,1,2
1866829466,1,1,1,1,1,5
1866894054,1,1,1,1,1,1
1866951858,1,1,1,1,1,3
1859374684,1,1,1,1,1,2
1862790502,1,1,1,1,1,3
1863489100,1,1,1,1,3,5
1867140898,1,1,1,1,1,1
1871599020,1,1,1,1,1,2
1871598934,1,1,1,1,1,5
1871598676,1,1,1,1,1,3
1871683784,1,1,1,1,1,1
1871598442,1,1,1,1,1,1
1871598320,1,1,1,1,1,1
1871599218,1,NA,NA,NA,NA,NA
1871599054,1,1,1,1,1,1
1871599524,1,1,1,5,5,2
1871598984,1,1,1,1,1,3
1863161466,1,1,1,1,1,3
1871598492,1,2,1,NA,NA,NA
1871598366,1,1,1,1,1,1
1871598280,1,1,1,1,1,1
1871598576,1,1,1,1,3,1
1871598312,1,1,1,1,1,1
1871599432,1,1,1,1,1,1
1318886496,1,1,1,1,1,3
1317911924,1,1,1,1,1,4
1319505446,1,1,1,1,1,3
1319268410,1,2,1,1,3,4
1319452236,1,NA,NA,NA,NA,4
1317702926,1,NA,1,1,1,1
1318133690,1,NA,NA,1,2,2
1319366074,1,1,1,2,2,5
1319456066,1,1,1,1,1,1
1317871428,1,1,1,1,1,5
1319117942,1,NA,NA,NA,NA,NA
1318514920,1,1,1,1,1,4
1320715674,1,1,1,1,1,NA
1320488992,1,1,1,1,1,1
1317932652,1,1,NA,NA,NA,NA
1323482332,1,1,1,NA,NA,1
1318880224,1,2,1,1,1,5
1317967336,1,NA,NA,NA,NA,1
1322262390,1,1,1,1,2,4
1317392368,1,1,1,2,1,1
1321782748,1,1,1,1,1,4
1321325140,1,1,1,1,1,1
1317988316,1,1,1,1,1,1
1320552282,1,1,1,1,1,1
1321542700,1,1,1,1,1,3
1318822794,1,1,1,1,1,1
1317851684,1,1,1,1,3,1
1319306096,1,2,1,1,1,3
1318786236,1,3,3,2,NA,5
1322153972,1,1,1,1,1,4
1317882676,1,1,1,1,1,4
1318049418,1,1,1,1,1,5
1318915190,1,2,1,1,2,2
1316140540,1,1,1,1,1,4
1317675006,1,2,1,1,4,2
1318751008,1,1,1,1,1,2
1317748042,1,1,1,1,NA,2
1317752946,1,1,1,1,1,4
1317763558,1,1,1,1,1,3
1317645764,1,1,1,1,1,3
1317780640,1,NA,NA,NA,NA,NA
1317875828,1,1,1,NA,NA,4
1317904640,1,1,1,1,1,5
1317645686,1,1,1,3,1,1
1317494678,1,1,1,1,2,4
1317957118,1,3,2,5,3,3
1317963856,1,1,1,1,1,NA
1318102884,1,NA,1,1,1,3
1318114352,1,NA,NA,3,4,1
1318676770,1,1,1,1,1,4
1318750552,1,1,1,3,3,1
1318891910,1,2,1,1,1,NA
1317392222,1,NA,NA,NA,NA,3
1314839160,1,1,1,1,NA,1
1318705660,1,1,1,2,1,1
1319235308,1,1,1,1,1,4
1319386984,1,1,1,4,1,5
1319651830,1,1,1,1,2,3
1315179820,1,1,1,1,3,3
1320243998,1,1,1,1,1,4
1320190380,1,1,1,3,4,5
1319439252,1,1,1,1,1,1
1320344572,1,1,NA,NA,NA,4
1320134346,1,1,1,1,1,5
1320438412,1,NA,NA,NA,NA,2
1319405434,1,1,1,1,1,1
1320495842,1,1,1,1,1,1
1320611898,1,1,1,1,1,1
1320518824,1,NA,NA,NA,NA,NA
1321405920,1,1,1,1,1,4
1321353320,1,1,1,1,1,3
1321585068,1,1,1,1,1,3
1321353064,1,1,1,1,1,1
1322195672,1,NA,NA,NA,1,1
1321169878,1,1,1,1,1,1
1322570920,1,1,1,1,1,5
1323523240,1,1,2,2,2,3
1323757498,1,1,1,1,1,3
1325102582,1,1,1,1,2,4
1851041124,1,1,1,1,1,2
1851050322,1,1,1,1,1,2
1850976148,1,1,1,1,4,5
1851085220,1,1,1,1,5,2
1851050310,1,NA,NA,NA,NA,3
1851123470,1,1,1,1,1,1
1851085234,1,1,1,1,1,3
1851050210,1,1,1,1,1,NA
1850676404,1,1,1,1,2,1
1851123476,1,1,1,1,1,3
1850518758,1,2,1,1,3,2
1851177006,1,1,1,1,1,2
1851041122,1,1,1,1,1,4
1850945028,1,1,1,1,NA,1
1850998012,1,1,1,1,1,2
1850944872,1,NA,NA,NA,1,5
1851085038,1,1,1,1,5,5
1851160532,1,1,1,1,1,1
1851160558,1,1,1,1,1,2
1851178486,1,1,1,1,1,1
1851194706,1,1,1,1,1,3
1851178478,1,1,NA,1,1,1
1850908208,1,1,1,4,1,1
1851085222,1,1,1,1,1,1
1851041098,1,1,1,1,1,1
1851300984,1,1,1,1,1,2
1851194688,1,1,1,1,1,1
1851194724,1,1,1,1,1,1
1851287142,1,1,1,1,1,1
1851194698,1,1,1,1,NA,1
1851041130,1,1,1,2,NA,1
1851160540,1,1,1,1,1,2
1851287156,1,1,1,1,1,NA
1851301022,1,1,1,1,1,1
1850606136,1,1,1,1,1,2
1851287160,1,1,1,1,1,3
1851287164,1,1,1,1,1,1
1851050340,1,2,2,2,2,1
1851085218,1,1,1,1,1,3
1851362592,1,1,1,1,1,1
1851050334,1,1,1,1,1,3
1851394588,1,1,1,1,1,1
1851442096,1,1,2,3,3,4
1851178488,1,NA,NA,NA,3,1
1851085214,1,1,1,1,3,2
1850623238,1,1,1,1,1,2
1851160550,1,1,1,1,1,1
1851450524,1,1,1,1,1,3
1851194714,1,1,1,1,1,4
1851301014,1,1,2,1,1,1
1851441012,1,1,1,1,1,4
1851350898,1,1,1,1,1,3
1851123482,1,1,1,1,1,3
1851509348,1,1,1,1,1,1
1851287136,1,1,1,NA,1,4
1851559820,1,1,1,1,1,NA
1851440898,1,1,2,1,3,3
1851441028,1,1,1,1,1,1
1851573218,1,1,1,1,1,1
1851041116,1,2,2,2,2,3
1851287134,1,1,1,1,1,1
1851467452,1,1,1,1,1,4
1851449562,1,1,1,1,3,4
1851440920,1,1,1,1,1,1
1851676644,1,1,NA,2,2,4
1851559818,1,1,1,1,1,5
1851752566,1,1,1,1,1,1
1851676804,1,2,2,2,2,3
1851733170,1,1,1,1,1,1
1851160534,1,1,1,1,1,4
1850587228,1,1,2,1,1,2
1850518776,1,1,1,1,1,3
1851889596,1,1,1,1,1,3
1846763978,1,1,1,1,3,5
1851845830,1,1,2,1,2,2
1851194718,1,1,1,1,1,1
1851830388,1,1,1,1,1,5
1851300996,1,1,1,1,1,3
1851449560,1,1,1,1,1,1
1851238096,1,1,1,NA,NA,2
1851676636,1,1,1,1,1,4
1840459730,1,1,1,1,1,2
1850701066,1,1,2,1,1,1
1851906664,1,1,1,1,1,1
1851845954,1,1,1,2,NA,1
1851287148,1,1,1,1,1,5
1852053876,1,1,1,1,1,1
1845722540,1,NA,NA,NA,NA,2
1850844064,1,1,1,1,1,1
1851389024,1,1,1,1,1,3
1852053844,1,2,1,1,1,1
1850908232,1,2,1,1,2,3
1851160554,1,1,1,1,1,1
1848324072,1,1,1,1,1,2
1851263700,1,1,1,1,4,1
1851160556,1,1,1,1,1,1
1852272728,1,1,1,1,5,1
1851194720,1,1,1,1,1,3
1851947702,1,1,1,1,1,3
1852053866,1,1,NA,NA,1,1
1851921012,1,1,1,1,4,5
1852949272,1,1,1,1,1,1
1852972202,1,1,1,1,3,2
1852994452,1,1,1,1,1,2
1851041110,1,1,1,1,1,3
1851559794,1,1,1,1,1,3
1850844154,1,1,1,1,1,1
1853153022,1,1,1,2,2,2
1853171268,1,1,1,1,1,3
1851178480,1,1,1,2,1,2
1853169650,1,1,1,1,1,4
1851733164,1,1,1,1,1,1
1853182816,1,1,1,1,4,1
1852053896,1,1,1,2,1,1
1851999702,1,1,1,1,2,1
1851906682,1,1,1,1,1,3
1853280342,1,1,1,1,1,1
1851676572,1,3,2,2,2,3
1853304578,1,1,2,1,1,1
1851947696,1,1,1,1,1,3
1853377314,1,1,1,1,4,1
1853402388,1,1,1,1,1,3
1853402356,1,1,1,5,5,1
1853425146,1,1,2,1,2,2
1851441006,1,1,1,1,1,2
