"id","wave","exp_self","exp_household","exp_family","exp_relations","y"
1289078779,1,1,1,1,1,2
1289251567,1,1,1,1,1,1
1289192567,1,2,1,1,1,3
1289255343,1,1,1,1,1,5
1289251821,1,1,1,2,2,5
1288665751,1,1,1,1,1,NA
1288520001,1,1,2,2,1,5
1289283277,1,1,2,1,2,2
1288998879,1,1,1,1,4,2
1289251671,1,NA,NA,NA,NA,1
1289251655,1,2,NA,2,2,1
1284805011,1,1,1,1,1,1
1289238491,1,1,1,1,1,5
1286868593,1,1,2,2,1,3
1288999629,1,1,1,1,4,1
1289101773,1,1,1,1,1,1
1288861087,1,1,1,1,1,2
1289286061,1,1,1,4,4,3
1289251919,1,1,1,1,1,1
1288705839,1,NA,NA,NA,NA,4
1288956799,1,1,1,1,NA,3
1289123593,1,1,1,1,1,3
1289022049,1,1,2,2,2,3
1289327101,1,1,1,1,1,1
1288706129,1,1,1,NA,1,4
1289169713,1,2,1,1,1,1
1289281429,1,1,1,1,1,1
1289340953,1,1,1,1,1,3
1289022225,1,1,1,4,2,2
1289369651,1,1,1,4,NA,4
1289286063,1,1,1,2,2,2
1289327165,1,NA,NA,NA,NA,3
1288888577,1,1,1,1,1,2
1289192693,1,1,1,1,1,3
1288741281,1,1,1,1,1,NA
1289041389,1,1,1,1,1,1
1289413147,1,NA,NA,NA,NA,1
1289408499,1,1,1,1,1,1
1289340927,1,NA,NA,NA,NA,NA
1289251827,1,1,1,1,3,1
1289371337,1,1,1,1,1,1
1289417311,1,1,1,1,1,2
1288956533,1,1,1,1,1,1
1289327161,1,1,1,1,1,1
1289251923,1,1,1,1,1,4
1289451967,1,1,1,1,1,2
1289462751,1,1,1,1,1,1
1289479897,1,2,1,1,1,4
1287336649,1,1,1,1,5,2
1289251903,1,1,1,1,1,3
1289498539,1,1,1,1,1,3
1289326959,1,1,1,1,3,2
1289315549,1,1,1,1,1,2
1289281453,1,1,1,1,1,3
1289281183,1,1,NA,NA,NA,3
1289500725,1,1,1,1,1,1
1288666345,1,NA,NA,NA,NA,NA
1289500643,1,1,1,1,1,2
1289543721,1,1,1,1,1,5
1289500641,1,1,1,1,1,1
1289553395,1,1,1,1,2,4
1289169603,1,1,1,1,1,5
1289281437,1,NA,NA,NA,NA,3
1286883351,1,1,1,1,1,1
1289590919,1,1,1,1,1,2
1289591461,1,1,1,1,1,3
1289123805,1,1,1,1,2,1
1289327141,1,1,1,1,1,5
1289629117,1,1,1,1,1,1
1289327143,1,1,1,1,1,2
1289551753,1,1,NA,1,NA,2
1289371341,1,1,1,1,1,4
1289500639,1,1,1,1,1,NA
1289123563,1,1,1,1,1,1
1289022253,1,1,1,1,1,5
1289059543,1,1,NA,NA,NA,2
1289676959,1,NA,NA,NA,NA,5
1288555563,1,1,1,1,1,1
1289452403,1,1,1,1,1,3
1289281441,1,1,1,1,1,1
1289682957,1,2,1,1,1,NA
1289327061,1,1,1,1,1,1
1289682801,1,1,2,2,3,5
1289500635,1,1,1,1,1,2
1289207869,1,1,3,1,1,3
1289716309,1,2,1,1,3,1
1289685281,1,1,1,1,3,1
1289281447,1,2,1,1,1,NA
1289281431,1,1,1,1,1,3
1289720445,1,3,NA,NA,5,NA
1289719309,1,1,1,NA,4,5
1289720487,1,NA,NA,NA,NA,1
1289251875,1,1,1,1,1,2
1289713711,1,1,1,1,1,3
1289734547,1,1,1,1,1,3
1289729699,1,1,1,1,1,2
1289419307,1,1,1,1,1,2
1289022131,1,1,1,1,1,1
1289775575,1,1,1,1,1,3
1289281317,1,NA,NA,NA,NA,1
1289192649,1,1,1,3,3,1
1289685465,1,NA,NA,NA,NA,1
1289040599,1,2,2,2,2,5
1289719205,1,1,1,1,1,4
1289500651,1,1,1,1,1,1
1289856893,1,1,1,1,1,3
1289638497,1,2,1,1,1,1
1289895113,1,1,1,1,1,2
1289123807,1,1,1,1,1,3
1289856899,1,1,1,2,2,2
1289901123,1,1,1,1,1,1
1289500663,1,1,3,3,3,NA
1289811721,1,1,1,1,1,NA
1289856671,1,1,1,1,1,1
1289905739,1,2,1,1,1,2
1289151285,1,1,1,1,1,2
1289974839,1,1,1,1,1,5
1289856761,1,NA,NA,NA,NA,1
1289995335,1,1,1,3,3,3
1290001011,1,1,1,1,1,2
1290048341,1,1,1,1,1,3
1290048635,1,1,1,1,1,3
1290143951,1,1,1,1,1,1
1290186999,1,1,1,1,1,1
1290224275,1,1,1,1,1,1
1290366953,1,NA,NA,NA,1,1
1290384763,1,1,1,1,1,3
