"id","wave","y","health","gender","age","edu","hinc"
"1851041574",1,2,5,1,29,7,NA
"1851050342",1,2,2,1,65,6,2
"1851081034",1,3,NA,1,42,NA,NA
"1851041118",1,1,2,2,68,4,2
"1851123472",1,3,4,1,18,1,7
"1851085236",1,3,4,1,66,6,NA
"1850908484",1,1,4,2,32,3,2
"1851238156",1,2,4,2,57,5,5
"1843278044",1,1,4,2,42,1,5
"1851287168",1,3,4,1,29,7,4
"1851301064",1,3,4,1,69,6,NA
"1850998038",1,NA,4,1,31,4,4
"1851449554",1,1,4,1,67,7,7
"1851845952",1,1,3,1,39,1,6
"1851921014",1,3,3,1,47,5,3
"1851287166",1,1,4,1,23,4,NA
"1852053882",1,1,NA,1,26,6,3
"1849096156",1,NA,NA,2,31,NA,NA
"1853024534",1,1,4,2,29,6,NA
"1851449558",1,3,4,1,24,2,NA
"1853170404",1,1,5,1,30,2,NA
"1851921032",1,1,3,1,31,4,NA
"1851194732",1,3,3,1,73,1,2
"1851287170",1,NA,4,1,82,6,NA
"1853086912",1,3,3,1,31,7,8
"1851830376",1,2,4,1,64,6,4
"1853441898",1,1,4,1,36,6,NA
"1853488866",1,4,4,1,18,1,9
"1853402362",1,2,4,2,52,1,3
"1853518934",1,2,5,1,23,2,1
"1851947700",1,3,5,1,66,5,NA
"1853602882",1,1,5,2,57,4,3
"1853602892",1,1,4,1,68,4,NA
"1853402382",1,1,4,2,33,4,5
"1853327796",1,NA,3,1,29,2,NA
"1853425164",1,5,5,1,47,3,NA
"1853711486",1,3,2,1,47,6,2
"1851194722",1,5,5,1,55,NA,NA
"1853512666",1,2,5,1,26,7,2
"1853711462",1,2,3,1,39,1,2
"1853677184",1,1,3,2,58,1,NA
"1853733048",1,1,4,1,77,7,NA
"1853840600",1,5,3,1,48,1,NA
"1853627788",1,NA,NA,1,54,NA,NA
"1853991356",1,1,5,2,45,6,5
"1853991336",1,3,4,2,69,4,NA
"1851733158",1,2,5,2,54,6,10
"1852017326",1,NA,NA,1,34,6,NA
"1853436338",1,3,3,1,30,7,4
"1854031466",1,1,4,2,54,6,NA
"1854095874",1,1,3,2,24,1,NA
"1852017392",1,3,4,1,61,6,NA
"1854160152",1,1,4,1,28,2,6
"1854211808",1,2,3,1,48,4,NA
"1853304564",1,2,4,2,31,3,9
"1854135424",1,1,3,1,63,6,3
"1854426344",1,1,4,2,49,4,7
"1854382758",1,1,3,2,33,NA,2
"1854537892",1,2,4,1,24,6,11
"1854077020",1,3,4,1,39,7,7
"1854501422",1,5,4,1,65,6,7
"1854382784",1,3,4,2,78,3,2
"1853425100",1,2,4,2,29,6,5
"1855613422",1,3,5,1,24,2,NA
"1855755346",1,1,5,2,66,7,NA
"1855724880",1,1,4,2,39,8,11
"1856150818",1,NA,NA,2,32,1,4
"1856149234",1,1,5,1,27,6,4
"1854616180",1,1,5,2,72,7,7
"1853677020",1,1,5,1,72,7,NA
"1855871070",1,1,5,1,23,2,1
"1855894880",1,4,4,1,45,5,NA
"1856450734",1,NA,5,2,47,7,11
"1854077032",1,2,3,2,22,2,11
"1855928280",1,1,4,1,37,4,NA
"1856721798",1,5,3,2,65,4,6
"1855724928",1,1,4,2,53,1,5
"1854574980",1,NA,4,1,36,2,NA
"1856450736",1,2,5,1,55,4,4
"1856793142",1,3,5,1,58,6,6
"1856957516",1,3,NA,1,34,5,3
"1856906560",1,1,4,2,62,6,NA
"1856450726",1,NA,4,2,62,6,NA
"1858311514",1,1,4,2,31,4,7
"1858243016",1,3,5,1,42,4,NA
"1856936344",1,1,3,1,36,4,5
"1858215306",1,3,5,1,42,5,6
"1858641916",1,NA,NA,2,53,5,NA
"1858877126",1,4,3,1,42,1,5
"1858850260",1,1,4,2,43,8,10
"1860323074",1,1,2,2,58,1,6
"1860555816",1,1,3,1,47,5,NA
"1860695050",1,3,4,1,53,6,3
"1858704790",1,2,4,2,26,5,2
"1860425080",1,1,3,2,35,5,NA
"1860795932",1,5,2,2,46,4,7
"1860537430",1,1,5,2,50,4,NA
"1860889758",1,1,5,2,35,6,4
"1861062646",1,3,4,1,75,2,NA
"1860889756",1,5,4,1,33,6,4
"1861265712",1,2,5,1,73,6,3
"1861568708",1,1,3,1,36,4,4
"1862778816",1,4,4,1,27,6,3
"1861196744",1,2,4,1,51,1,3
"1862815402",1,1,4,1,78,1,3
"1863069916",1,NA,5,1,34,2,NA
"1862840276",1,4,5,1,64,6,3
"1862884586",1,5,3,1,33,4,NA
"1865201088",1,3,4,1,55,1,NA
"1866623832",1,NA,NA,2,35,1,3
"1851301010",1,1,4,2,56,7,NA
"1867391642",1,2,5,1,56,1,6
"1866829466",1,5,4,2,43,5,4
"1866894054",1,1,4,1,41,2,NA
"1866951858",1,3,4,1,58,4,6
"1859374684",1,2,5,1,48,4,8
"1862790502",1,3,4,2,26,4,6
"1863489100",1,5,5,2,25,2,NA
"1867140898",1,1,5,2,73,7,NA
"1871599020",1,2,5,2,19,1,5
"1871598934",1,5,4,1,32,1,3
"1871598676",1,3,2,1,70,5,2
"1871683784",1,1,4,2,29,7,NA
"1871598442",1,1,5,1,76,5,3
"1871598320",1,1,5,2,47,1,6
"1871599218",1,NA,NA,1,63,NA,NA
"1871599054",1,1,5,2,50,2,6
"1871599524",1,2,3,1,18,NA,NA
"1871598984",1,3,4,1,73,4,6
"1863161466",1,3,5,1,54,4,5
"1871598492",1,NA,3,1,73,1,NA
"1871598366",1,1,3,1,31,5,5
"1871598280",1,1,1,2,33,1,5
"1871598576",1,1,4,1,41,7,11
"1871598312",1,1,4,1,54,6,NA
"1871599432",1,1,5,1,19,1,4
"1318886496",1,3,5,2,64,1,6
"1317911924",1,4,5,2,32,7,2
"1319505446",1,3,5,1,40,7,4
"1319268410",1,4,3,1,47,6,NA
"1319452236",1,4,5,2,23,NA,2
"1317702926",1,1,5,2,67,7,3
"1318133690",1,2,5,1,20,1,NA
"1319366074",1,5,3,1,42,4,6
"1319456066",1,1,5,1,25,1,NA
"1317871428",1,5,3,2,19,5,NA
"1319117942",1,NA,NA,2,22,1,NA
"1318514920",1,4,2,1,26,2,2
"1320715674",1,NA,4,1,48,1,NA
"1320488992",1,1,4,2,72,4,4
"1317932652",1,NA,NA,1,18,1,NA
"1323482332",1,1,NA,2,50,6,NA
"1318880224",1,5,3,2,19,3,NA
"1317967336",1,1,3,2,33,6,4
"1322262390",1,4,4,2,18,1,6
"1317392368",1,1,4,2,31,4,NA
"1321782748",1,4,5,1,53,6,9
"1321325140",1,1,4,2,42,6,5
"1317988316",1,1,4,2,31,6,4
"1320552282",1,1,4,2,18,1,NA
"1321542700",1,3,5,1,37,1,8
"1318822794",1,1,5,1,18,1,NA
"1317851684",1,1,5,1,30,7,5
"1319306096",1,3,3,1,46,5,7
"1318786236",1,5,4,2,29,5,4
"1322153972",1,4,5,1,36,7,NA
"1317882676",1,4,4,1,29,7,5
