"id","wave","y","health","gender","age","edu","hinc"
"1289078779",1,2,3,1,36,6,4
"1289251567",1,1,2,1,32,5,2
"1289192567",1,3,5,2,69,8,11
"1289255343",1,5,4,2,80,7,NA
"1289251821",1,5,4,2,50,4,5
"1288665751",1,NA,NA,2,42,1,NA
"1288520001",1,5,4,1,70,6,NA
"1289283277",1,2,5,1,32,7,10
"1288998879",1,2,4,1,41,6,6
"1289251671",1,1,4,2,73,6,6
"1289251655",1,1,2,1,42,2,3
"1284805011",1,1,3,1,76,4,3
"1289238491",1,5,4,2,34,7,NA
"1286868593",1,3,5,1,58,6,6
"1288999629",1,1,3,2,45,5,NA
"1289101773",1,1,4,1,67,7,7
"1288861087",1,2,5,2,64,1,6
"1289286061",1,3,4,1,72,6,2
"1289251919",1,1,5,1,59,4,11
"1288705839",1,4,2,2,35,4,4
"1288956799",1,3,4,1,41,4,4
"1289123593",1,3,3,2,61,4,NA
"1289022049",1,3,5,2,35,4,10
"1289327101",1,1,4,2,53,7,NA
"1288706129",1,4,3,2,63,6,4
"1289169713",1,1,4,2,24,7,6
"1289281429",1,1,4,1,77,7,NA
"1289340953",1,3,5,1,66,6,5
"1289022225",1,2,4,2,31,3,9
"1289369651",1,4,4,1,79,6,5
"1289286063",1,2,2,1,65,6,2
"1289327165",1,3,4,2,77,7,2
"1288888577",1,2,3,2,67,5,3
"1289192693",1,3,4,2,73,7,6
"1288741281",1,NA,NA,2,52,1,6
"1289041389",1,1,3,2,39,4,4
"1289413147",1,1,3,2,73,1,3
"1289408499",1,1,4,1,79,4,5
"1289340927",1,NA,NA,2,35,1,3
"1289251827",1,1,4,1,41,7,11
"1289371337",1,1,3,2,75,6,NA
"1289417311",1,2,4,2,75,4,3
"1288956533",1,1,5,1,47,4,NA
"1289327161",1,1,3,2,81,5,4
"1289251923",1,4,3,2,67,6,6
"1289451967",1,2,3,1,51,6,6
"1289462751",1,1,3,2,56,2,4
"1289479897",1,4,3,1,68,6,NA
"1287336649",1,2,4,2,53,7,6
"1289251903",1,3,4,1,32,6,9
"1289498539",1,3,4,1,29,2,2
"1289326959",1,2,3,1,62,5,NA
"1289315549",1,2,3,1,37,4,NA
"1289281453",1,3,5,1,59,6,5
"1289281183",1,3,3,1,69,NA,NA
"1289500725",1,1,4,2,57,6,11
"1288666345",1,NA,4,2,41,NA,NA
"1289500643",1,2,4,1,68,6,6
"1289543721",1,5,4,1,65,6,7
"1289500641",1,1,5,1,54,4,11
"1289553395",1,4,4,1,24,3,5
"1289169603",1,5,3,1,74,4,3
"1289281437",1,3,3,1,71,4,5
"1286883351",1,1,4,1,53,5,NA
"1289590919",1,2,5,1,40,7,NA
"1289591461",1,3,4,2,20,3,NA
"1289123805",1,1,4,2,44,4,NA
"1289327141",1,5,4,2,65,7,NA
"1289629117",1,1,5,2,31,5,5
"1289327143",1,2,5,1,73,6,3
"1289551753",1,2,3,1,64,7,6
"1289371341",1,4,3,1,72,6,2
"1289500639",1,NA,3,1,29,2,NA
"1289123563",1,1,4,2,45,4,4
"1289022253",1,5,3,1,48,1,NA
"1289059543",1,2,5,2,34,6,4
"1289676959",1,5,4,2,29,7,NA
"1288555563",1,1,3,1,62,6,3
"1289452403",1,3,4,1,54,6,8
"1289281441",1,1,5,1,76,5,3
"1289682957",1,NA,4,1,27,6,7
"1289327061",1,1,4,2,66,4,3
"1289682801",1,5,5,1,69,6,4
"1289500635",1,2,4,2,68,4,5
"1289207869",1,3,4,2,26,7,9
"1289716309",1,1,4,2,48,2,7
"1289685281",1,1,3,1,30,4,10
"1289281447",1,NA,5,1,74,6,NA
"1289281431",1,3,4,1,69,6,7
"1289720445",1,NA,3,2,31,7,2
"1289719309",1,5,4,1,48,4,NA
"1289720487",1,1,4,2,43,6,4
"1289251875",1,2,5,1,66,4,6
"1289713711",1,3,4,1,72,6,NA
"1289734547",1,3,3,1,32,6,6
"1289729699",1,2,5,1,62,1,8
"1289419307",1,2,4,1,31,6,8
"1289022131",1,1,4,1,63,5,6
"1289775575",1,3,4,2,54,4,3
"1289281317",1,1,5,1,40,7,11
"1289192649",1,1,5,2,66,7,11
"1289685465",1,1,3,2,66,1,4
"1289040599",1,5,5,1,66,6,5
"1289719205",1,4,4,2,49,6,11
"1289500651",1,1,5,2,20,7,7
"1289856893",1,3,4,1,23,3,2
"1289638497",1,1,4,1,58,4,NA
"1289895113",1,2,3,2,20,2,1
"1289123807",1,3,3,2,44,5,NA
"1289856899",1,2,5,1,29,6,9
"1289901123",1,1,4,2,35,6,8
"1289500663",1,NA,NA,2,32,1,4
"1289811721",1,NA,5,2,47,7,11
"1289856671",1,1,4,2,34,7,9
"1289905739",1,2,3,2,61,4,5
"1289151285",1,2,4,2,49,5,8
"1289974839",1,5,5,2,20,2,NA
"1289856761",1,1,3,2,33,6,4
"1289995335",1,3,5,2,25,7,4
"1290001011",1,2,4,1,57,5,7
"1290048341",1,3,4,1,75,2,NA
"1290048635",1,3,3,1,76,6,3
"1290143951",1,1,4,2,68,4,3
"1290186999",1,1,5,2,36,5,7
"1290224275",1,1,4,1,20,3,NA
"1290366953",1,1,5,2,51,7,7
"1290384763",1,3,4,2,78,3,2
"1290529873",1,1,3,1,31,5,5
"1290785061",1,1,3,1,28,6,NA
"1290887767",1,2,4,2,22,2,1
"1290888817",1,3,4,2,55,7,11
"1290903879",1,1,3,1,56,6,3
"1290934839",1,1,2,1,57,6,5
"1290939373",1,2,3,1,69,4,4
"1290955311",1,5,2,1,69,1,3
"1290982997",1,5,2,1,45,4,3
"1290933331",1,1,4,2,37,4,11
"1290999125",1,1,4,1,26,6,6
"1290981737",1,5,5,1,48,1,NA
"1290982005",1,1,4,2,70,7,NA
"1290988237",1,1,3,2,60,6,5
"1289600651",1,2,3,2,58,4,11
"1290988743",1,4,4,1,51,3,10
"1291030795",1,2,3,2,66,6,6
"1290933437",1,1,4,2,74,8,NA
"1289895925",1,1,4,2,27,4,NA
"1291030791",1,3,4,1,76,NA,NA
"1290939377",1,3,5,1,55,4,3
"1291030749",1,3,5,2,65,4,6
"1290933103",1,3,4,2,66,4,NA
"1291030811",1,5,3,1,72,6,NA
"1291030803",1,3,3,1,62,3,7
"1291058785",1,1,4,2,21,3,NA
"1291082949",1,2,3,1,20,2,1
"1291076549",1,1,3,2,59,6,11
"1290988729",1,4,5,2,23,6,2
"1273629877",1,1,4,2,79,5,6
"1291121925",1,2,2,2,64,5,3
"1291030771",1,5,5,1,69,6,NA
"1291127903",1,5,2,2,46,4,7
"1291147235",1,3,5,1,56,5,9
"1291148849",1,1,3,2,63,4,6
"1291040751",1,4,3,1,30,5,5
"1291076583",1,1,4,2,67,5,3
"1291040595",1,5,4,2,57,7,11
"1291076847",1,2,2,2,68,6,6
"1291167533",1,3,4,2,69,6,5
"1289251917",1,3,3,1,30,7,4
"1290939145",1,1,5,2,59,5,8
"1291040309",1,3,4,2,56,4,9
"1288666529",1,1,4,1,25,4,8
