"id","ritual","church","belief","god","y"
923063029,1,1,2,4,1
1312502864,1,1,2,3,1
1314246752,3,1,1,1,5
1314282936,1,1,NA,NA,2
1314294632,1,1,3,4,1
1314323520,1,1,2,3,2
1314457238,1,1,2,3,1
1314839160,1,1,1,NA,1
1314854228,1,1,NA,NA,NA
1314969138,4,3,1,2,4
1315179820,1,1,NA,1,3
1315367822,1,1,3,4,1
1315505990,1,1,1,2,2
1316140540,1,1,1,1,4
1316224076,1,1,2,3,4
1316262012,1,1,1,2,4
1316313736,1,1,2,3,2
1316355068,1,1,2,4,1
1316368386,1,1,1,4,3
1316430318,2,1,3,4,1
1316461916,1,1,3,4,1
1316614440,1,1,3,4,1
1316664218,1,1,NA,4,2
1316748646,1,1,1,2,5
1316790156,1,1,3,4,1
1317301538,1,NA,1,1,5
1317364918,1,1,3,4,1
1317374918,1,1,1,4,1
1317392222,3,3,1,2,3
1317392368,1,1,2,3,1
1317415028,1,1,3,4,1
1317441138,1,1,3,4,5
1317441224,1,1,3,4,1
1317441296,1,1,1,4,NA
1317441330,1,1,3,4,1
1317494678,3,4,1,1,4
1317551000,2,1,NA,NA,NA
1317563780,1,1,2,4,1
1317579122,2,1,1,3,3
1317579202,1,1,2,2,3
1317591300,1,1,NA,3,2
1317591486,1,2,1,2,3
1317607522,1,2,NA,3,2
1317607658,1,NA,2,4,1
1317620940,1,1,NA,3,1
1317645578,1,2,1,1,5
1317645686,1,1,3,4,1
1317645764,2,5,3,3,3
1317645996,1,1,3,3,1
1317646016,1,1,2,4,1
1317662412,2,2,3,2,4
1317675006,1,1,1,3,2
1317675012,4,3,1,2,4
1317675054,2,1,2,1,4
1317690282,1,1,NA,2,3
1317690406,1,1,1,2,3
1317702860,1,2,1,1,2
1317702926,1,1,1,3,1
1317716674,1,1,3,4,1
1317716706,1,1,1,NA,3
1317716814,2,1,NA,3,3
1317725252,1,1,3,4,1
1317725276,NA,1,1,2,4
1317738284,1,1,2,3,3
1317748042,1,2,1,4,2
1317752134,1,1,3,4,1
1317752650,1,1,NA,3,3
1317752946,2,1,1,1,4
1317762670,1,1,2,4,1
1317762854,1,1,NA,3,3
1317763166,1,2,1,NA,4
1317763558,1,2,3,3,3
1317774056,2,1,2,3,1
1317780640,NA,NA,NA,NA,NA
1317797928,2,2,1,NA,3
1317798150,1,1,3,4,1
1317814140,1,1,2,4,1
1317814484,NA,1,2,2,1
1317815556,1,1,NA,3,NA
1317815564,1,1,1,NA,4
1317816330,NA,NA,NA,NA,NA
1317826690,1,1,1,NA,3
1317851684,1,1,2,2,1
1317871428,1,4,1,1,5
1317875828,1,2,1,1,4
1317876092,1,2,2,4,2
1317882676,1,2,1,2,4
1317884664,1,1,2,4,1
1317890732,1,2,1,2,4
1317904640,1,1,1,2,5
1317904980,1,1,2,1,2
1317905090,1,1,2,4,1
1317911318,1,2,1,1,5
1317911498,1,1,2,4,1
1317911924,4,1,2,2,4
1317915884,1,1,NA,3,2
1317916194,1,1,1,2,2
1317917080,1,1,2,3,1
1317923460,1,1,1,3,2
1317924570,1,2,1,1,4
1317932558,1,1,2,3,1
1317932570,1,1,1,NA,3
1317932652,1,3,NA,3,NA
1317932760,1,1,2,4,1
1317934814,2,1,2,1,3
1317943608,1,1,2,4,1
1317957118,NA,NA,2,4,3
1317958334,NA,NA,NA,NA,NA
1317958422,1,2,1,2,3
1317958472,2,1,NA,NA,2
1317963856,1,1,NA,NA,NA
1317967336,2,1,2,4,1
1317973016,1,1,1,2,3
1317987600,1,1,3,4,1
1317987732,1,1,1,2,2
1317988316,1,1,2,4,1
1317988566,4,5,1,1,5
1318006818,1,1,NA,4,2
1318009276,1,1,3,2,1
1318029268,4,2,1,2,5
1318036660,1,1,2,4,1
1318037964,1,1,3,4,1
1318038524,1,1,1,2,1
1318039996,1,1,2,4,1
1318049418,1,1,3,2,5
1318053546,NA,NA,NA,NA,NA
1318054244,1,1,3,4,1
1318056096,1,1,2,4,2
1318056310,1,1,1,NA,3
1318056342,4,5,1,1,5
1318058032,1,1,3,4,1
1318062690,1,1,3,4,1
1318064072,1,1,3,4,1
1318068800,1,1,1,NA,3
1318069432,1,1,3,3,1
1318085166,1,1,3,4,1
1318085676,NA,1,3,4,1
1318087016,1,1,2,NA,1
1318094114,1,1,3,4,1
1318102884,2,1,1,NA,3
1318114352,1,1,2,4,1
1318115532,1,1,3,4,1
1318119542,1,1,3,4,1
1318130314,1,1,3,4,1
1318133690,1,1,1,3,2
1318133912,1,1,1,NA,2
1318134088,1,3,1,1,2
1318150410,1,2,1,1,4
1318150558,3,2,1,2,3
1318150580,1,1,2,3,2
1318154410,1,2,2,2,1
1318167552,1,1,3,4,1
1318473954,1,2,1,3,2
1318514920,1,1,2,1,4
1318538524,1,1,NA,1,3
1318553946,4,3,1,2,4
1318617744,2,1,1,NA,3
1318656884,1,2,NA,2,2
1318658830,1,2,1,2,4
1318676770,5,3,1,NA,4
1318678104,1,1,3,4,1
